"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2021","1,733.49","1,782.24","1,816.27","1,717.26","","-2.74%"
"02/14/2021","1,782.31","1,825.34","1,827.59","1,760.13","","-2.26%"
"02/07/2021","1,823.46","1,815.44","1,855.70","1,807.48","","0.65%"
"01/31/2021","1,811.62","1,863.05","1,871.84","1,785.15","","-1.87%"
"01/24/2021","1,846.09","1,855.75","1,876.03","1,831.29","","-0.35%"
"01/17/2021","1,852.55","1,828.94","1,875.45","1,810.46","","1.42%"
"01/10/2021","1,826.59","1,849.34","1,864.08","1,817.14","","-1.17%"
"01/03/2021","1,848.26","1,906.05","1,959.60","1,828.74","","-2.63%"
"12/27/2020","1,898.10","1,885.93","1,901.26","1,869.21","","1.19%"
"12/20/2020","1,875.82","1,883.20","1,906.93","1,856.69","","-0.26%"
"12/13/2020","1,880.66","1,839.30","1,896.26","1,819.92","","2.26%"
"12/06/2020","1,839.03","1,837.99","1,875.79","1,822.99","","0.08%"
"11/29/2020","1,837.61","1,789.05","1,848.26","1,764.69","","2.77%"
"11/22/2020","1,788.13","1,869.84","1,876.72","1,773.93","","-4.40%"
"11/15/2020","1,870.49","1,888.74","1,899.35","1,852.48","","-0.93%"
"11/08/2020","1,888.04","1,954.65","1,965.92","1,850.36","","-3.25%"
"11/01/2020","1,951.51","1,878.59","1,960.77","1,873.21","","3.92%"
"10/25/2020","1,877.95","1,902.34","1,911.34","1,859.67","","-1.20%"
"10/18/2020","1,900.79","1,899.94","1,931.41","1,894.54","","0.10%"
"10/11/2020","1,898.97","1,930.50","1,933.45","1,882.44","","-1.58%"
"10/04/2020","1,929.43","1,902.24","1,930.83","1,873.05","","1.62%"
"09/27/2020","1,898.70","1,859.00","1,917.28","1,849.19","","2.08%"
"09/20/2020","1,860.05","1,949.55","1,955.75","1,848.45","","-4.60%"
"09/13/2020","1,949.69","1,941.05","1,973.63","1,932.99","","0.42%"
"09/06/2020","1,941.50","1,931.24","1,966.50","1,906.67","","0.47%"
"08/30/2020","1,932.45","1,965.40","1,992.38","1,916.67","","-1.63%"
"08/23/2020","1,964.49","1,939.24","1,976.60","1,902.77","","1.29%"
"08/16/2020","1,939.40","1,947.04","2,015.45","1,911.65","","-0.22%"
